County	Year	Average Outage Hours per Customer
Androscoggin	2016	1.220995271754972
Androscoggin	2017	3.0931340406917123
Androscoggin	2018	6.942541443076265
Androscoggin	2019	5.398299685984459
Androscoggin	2020	33.40945634639959
Androscoggin	2021	2.9929599720633817
Androscoggin	2022	19.751387727563678
Androscoggin	2023	4.527381442865953
Aroostook	2017	121.64692735542873
Aroostook	2018	39.249731112500704
Aroostook	2019	9.189646901476173
Aroostook	2020	11.510222876309742
Aroostook	2021	5.079363710968287
Aroostook	2022	11.311792517423303
Aroostook	2023	1.6974804671026906
Cumberland	2016	2.4491883900750713
Cumberland	2017	3.8030516098288807
Cumberland	2018	7.648883223156898
Cumberland	2019	17.087375283343913
Cumberland	2020	21.541240534229644
Cumberland	2021	3.948134355325356
Cumberland	2022	18.060823073221
Cumberland	2023	4.83850836659254
Franklin	2016	0.7715351504999746
Franklin	2017	2.4308729301199654
Franklin	2018	24.41892294569235
Franklin	2019	24.304102059728944
Franklin	2020	71.36221894439812
Franklin	2021	11.746695708349955
Franklin	2022	17.43632385487576
Franklin	2023	5.95326300070517
Hancock	2016	0.37485629054405983
Hancock	2017	69.69102028465187
Hancock	2018	22.02716648354826
Hancock	2019	33.3629314159039
Hancock	2020	30.758801243739107
Hancock	2021	8.312039756988899
Hancock	2022	35.735250143184146
Hancock	2023	11.91815096772213
Kennebec	2016	7.511888497835501
Kennebec	2017	3.5413111317934614
Kennebec	2018	6.129625247568392
Kennebec	2019	7.16080423044188
Kennebec	2020	46.358724426256614
Kennebec	2021	4.929771856808879
Kennebec	2022	12.352459590838432
Kennebec	2023	3.2438050488797545
Knox	2016	0.9795776221775379
Knox	2017	3.761889173325428
Knox	2018	5.125403605092144
Knox	2019	24.75031509978321
Knox	2020	35.90176721096987
Knox	2021	4.689305722091644
Knox	2022	14.904701843322329
Knox	2023	21.213248221310785
Lincoln	2016	4.468060533619984
Lincoln	2017	7.351301986002787
Lincoln	2018	18.558249073184125
Lincoln	2019	42.32850772179825
Lincoln	2020	55.236377719777245
Lincoln	2021	9.071988904134106
Lincoln	2022	29.178371585054784
Lincoln	2023	20.822142077443434
Oxford	2016	0.318922617012347
Oxford	2017	2.2417440782098867
Oxford	2018	25.455104313937618
Oxford	2019	15.136230635434107
Oxford	2020	46.383139501019315
Oxford	2021	13.503275074589855
Oxford	2022	49.50730334232958
Oxford	2023	4.502849492450827
Penobscot	2016	7.234920082535185
Penobscot	2017	27.909873894624837
Penobscot	2018	13.232411008195552
Penobscot	2019	21.314917699112055
Penobscot	2020	50.06375426542691
Penobscot	2021	5.088970436145776
Penobscot	2022	16.71605232567426
Penobscot	2023	6.066519614971822
Piscataquis	2016	6.073409084793714
Piscataquis	2017	10.344824978202768
Piscataquis	2018	36.139470606487336
Piscataquis	2019	24.48319074652788
Piscataquis	2020	85.19441067556296
Piscataquis	2021	10.971173618891665
Piscataquis	2022	17.544656386420694
Piscataquis	2023	7.095663851780722
Sagadahoc	2016	6.349394983490227
Sagadahoc	2017	10.856325945856021
Sagadahoc	2018	11.523013708219098
Sagadahoc	2019	29.474855456041787
Sagadahoc	2020	48.42054962288676
Sagadahoc	2021	6.867060065144601
Sagadahoc	2022	29.144871924109864
Sagadahoc	2023	13.891893916051247
Somerset	2016	1.962186431142762
Somerset	2017	2.7105245928245205
Somerset	2018	19.44570194892473
Somerset	2019	27.632096846902225
Somerset	2020	77.58435116779856
Somerset	2021	7.691492889484089
Somerset	2022	14.44280821044137
Somerset	2023	8.207458782104391
Waldo	2016	6.022960451602742
Waldo	2017	4.714461268409487
Waldo	2018	10.849249342433826
Waldo	2019	16.492571061818676
Waldo	2020	73.75341584158417
Waldo	2021	6.08502422095996
Waldo	2022	22.68725959367946
Waldo	2023	7.674458638371025
Washington	2017	41.90204161758931
Washington	2018	20.651135556162888
Washington	2019	13.398179144103334
Washington	2020	10.88163538063156
Washington	2021	3.261460509714863
Washington	2022	14.722708771224386
Washington	2023	13.850596676432641
York	2016	0.3460681350288332
York	2017	7.757530088210795
York	2018	9.517086670314546
York	2019	11.107276472078084
York	2020	20.165273116521774
York	2021	6.593290098558967
York	2022	24.453190354338386
York	2023	14.609987057639263
